ID,Bank,City,State,Date,Acquired by,Assets ($mil.)
1,Washington Mutual Bank,Seattle,Washington,"September 25, 2008",JPMorgan Chase Bank,307000
2,IndyMac,Pasadena,California,"July 11, 2008","OneWest Bank, FSB",32000
3,Downey Savings and Loan,Newport Beach,California,"November 21, 2008","U.S. Bank, N.A.",12800
4,Franklin Bank,Houston,Texas,"November 7, 2008",Prosperity Bank,5100
5,PFF Bank and Trust,Pomona,California,"November 21, 2008","U.S. Bank, N.A.",3700
6,First National Bank of Nevada,Reno,Nevada,"July 25, 2008",Mutual of Omaha Bank,3400
7,ANB Financial NA,Bentonville,Arkansas,"May 9, 2008",Pulaski Bank and Trust Company,2100
8,Silver State Bank,Henderson,Nevada,"September 5, 2008",Nevada State Bank,2000
9,Integrity Bank,Alpharetta,Georgia,"August 29, 2008",Regions Bank,1100
10,The Columbian Bank and Trust Company,Topeka,Kansas,"August 22, 2008",Citizens Bank and Trust,752
11,The Community Bank,Loganville,Georgia,"November 21, 2008",Bank of Essex,681
12,Haven Trust Bank,Duluth,Georgia,"December 12, 2008",Branch Banking and Trust Company (BB&T),572
13,Security Pacific Bank,Los Angeles,California,"November 7, 2008",Pacific Western Bank,"561,1"
14,Alpha Bank & Trust,Alpharetta,Georgia,"October 24, 2008","Stearns Bank, N.A.","354,1"
15,Freedom Bank,Bradenton,Florida,"October 31, 2008",Fifth Third Bank,287
16,First Priority Bank,Bradenton,Florida,"August 1, 2008",SunTrust Bank,259
17,"First Heritage Bank, NA",Newport Beach,California,"July 25, 2008",Mutual of Omaha Bank,254
18,First Georgia Community Bank,Jackson,Georgia,"December 5, 2008",United Bank,"237,5"
19,Ameribank,Northfork,West Virginia,"September 19, 2008",The Citizens Savings Bank,113
20,Main Street Bank,Northville,Michigan,"October 10, 2008",Monroe Bank and Trust,98
21,Douglass National Bank,Kansas City,Missouri,"January 25, 2008",Liberty Bank and Trust,"58,5"
22,"First Integrity Bank, NA",Staples,Minnesota,"May 30, 2008",First International Bank and Trust,"54,7"
23,Meridian Bank,Eldred,Illinois,"October 10, 2008",National Bank,"39,2"
24,Sanderson State Bank,Sanderson,Texas,"December 12, 2008",The Pecos County State Bank,37
25,Hume Bank,Hume,Missouri,"March 7, 2008",Security Bank,"18,7"
26,Colonial Bank,Montgomery,Alabama,"August 14, 2009",Branch Banking and Trust (BB&T),25000
27,Guaranty Bank,Austin,Texas,"August 21, 2009",BBVA Compass,13000
28,BankUnited FSB,Coral Gables,Florida,"May 21, 2009",BankUnited,12800
29,AmTrust Bank,Cleveland,Ohio,"December 4, 2009",New York Community Bank,12000
30,United Commercial Bank,San Francisco,California,"November 6, 2009",East West Bank,11200
31,California National Bank,Los Angeles,California,"October 30, 2009","U.S. Bank, N.A.",7800
32,Corus Bank,Chicago,Illinois,"September 11, 2009","MB Financial Bank, N.A.",7000
33,"First Federal Bank of California, F.S.B.",Santa Monica,California,"December 18, 2009","OneWest Bank, FSB",6100
34,Park National Bank,Chicago,Illinois,"October 30, 2009","U.S. Bank, N.A.",4700
35,"Silverton Bank, NA",Atlanta,Georgia,"May 1, 2009",None (insured depositors paid directly),4100
36,Imperial Capital Bank,La Jolla,California,"December 18, 2009",City National Bank,4000
37,San Diego National Bank,San Diego,California,"October 30, 2009","U.S. Bank, N.A.",3600
38,Irwin Union Bank and Trust Company,Columbus,Indiana,"September 18, 2009","First Financial Bank, N.A.",2700
39,Orion Bank,Naples,Florida,"November 13, 2009",IBERIABANK,2700
40,Pacific National Bank,San Francisco,California,"October 30, 2009","U.S. Bank, N.A.",2300
41,New Frontier Bank,Greeley,Colorado,"April 10, 2009",None (Wound down by FDIC as receiver),2000
42,Georgian Bank,Atlanta,Georgia,"September 25, 2009",First Citizens Bank and Trust Company,2000
43,Vineyard Bank,Rancho Cucamonga,California,"July 17, 2009",California Bank and Trust,1900
44,Peoples First Community Bank,Panama City,Florida,"December 18, 2009",Hancock Bank,1800
45,County Bank,Merced,California,"February 6, 2009",Westamerica Bank,1700
46,Mutual Bank,Harvey,Illinois,"July 31, 2009",United Central Bank,1600
47,First Bank of Beverly Hills,Calabasas,California,"April 24, 2009",None (insured depositors paid directly),1500
48,Temecula Valley Bank,Temecula,California,"July 17, 2009",First-Citizens Bank and Trust Company,1500
49,New South Federal Savings Bank,Irondale,Alabama,"December 18, 2009",Beal Bank,1500
50,Security Bank of Bibb County,Macon,Georgia,"July 24, 2009",State Bank and Trust Company,1200
51,Alliance Bank,Culver City,California,"February 6, 2009",California Bank and Trust,1140
52,Affinity Bank,Ventura,California,"August 28, 2009",Pacific Western Bank,1000
53,Cooperative Bank,Wilmington,North Carolina,"June 19, 2009",First Bank,970
54,Venture Bank,Lacey,Washington,"September 11, 2009",First-Citizens Bank and Trust Company,970
55,Founders Bank,Worth,Illinois,"July 2, 2009",The PrivateBank and Trust Company,963
56,Omni National Bank,Atlanta,Georgia,"March 27, 2009",SunTrust Bank,956
57,The Buckhead Community Bank,Atlanta,Georgia,"December 4, 2009",State Bank and Trust,874
58,1st Centennial Bank,Redlands,California,"January 23, 2009",First California Bank,"803,3"
59,San Joaquin Bank,Bakersfield,California,"October 16, 2009",Citizens Business Bank,775
60,"Century Bank, F.S.B.",Sarasota,Florida,"November 13, 2009",IBERIABANK,728
61,Peoples Community Bank,West Chester,Ohio,"July 31, 2009","First Financial Bank, N.A.",706
62,"TeamBank, NA",Paola,Kansas,"March 20, 2009",Great Southern Bank,"669,8"
63,CapitalSouth Bank,Birmingham,Alabama,"August 21, 2009",IBERIABANK,617
64,Independent Bankers' Bank,Springfield,Illinois,"December 18, 2009",The Independent Bankers Bank,586
65,Riverside Bank of the Gulf Coast,Cape Coral,Florida,"February 13, 2009",TIB Bank,539
66,Warren Bank,Warren,Michigan,"October 2, 2009",The Huntington National Bank,538
67,Strategic Capital Bank,Champaign,Illinois,"May 22, 2009",Midland States Bank,537
68,SolutionsBank,Overland Park,Kansas,"December 11, 2009",Arvest Bank,511
69,"Irwin Union Bank, F.S.B.",Louisville,Kentucky,"September 18, 2009","First Financial Bank, N.A.",493
70,Cape Fear Bank,Wilmington,North Carolina,"April 10, 2009",First Federal Savings and Loan Association,492
71,First Bank of Idaho,Ketchum,Idaho,"April 24, 2009","U.S. Bank, N.A.","488,9"
72,First State Bank,Sarasota,Florida,"August 7, 2009","Stearns Bank, N.A.",463
73,Mainstreet Bank,Forest Lake,Minnesota,"August 28, 2009",Central Bank,459
74,Vantus Bank,Sioux City,Iowa,"September 4, 2009",Great Southern Bank,458
75,Mirae Bank,Los Angeles,California,"June 26, 2009",Wilshire State Bank,456
76,Security Bank of Jones County,Gray,Georgia,"July 24, 2009",State Bank and Trust Company,453
77,Bradford Bank,Baltimore,Maryland,"August 28, 2009",Manufacturers & Traders Trust Company,452
78,Bank of Clark County,Vancouver,Washington,"January 16, 2009",Umpqua Bank,"446,5"
79,Citizens National Bank,Macomb,Illinois,"May 22, 2009",Morton Community Bank,437
80,"Republic Federal Bank, N.A.",Miami,Florida,"December 11, 2009",1st United Bank,433
81,National Bank of Commerce,Berkeley,Illinois,"January 16, 2009",Republic Bank of Chicago,"430,9"
82,Security Bank of Houston County,Perry,Georgia,"July 24, 2009",State Bank and Trust Company,383
83,Southern Community Bank,Fayetteville,Georgia,"June 19, 2009",United Community Bank,377
84,Suburban FSB,Crofton,Maryland,"January 30, 2009",Bank of Essex,360
85,Platinum Community Bank,Rolling Meadows,Illinois,"September 4, 2009",None (insured depositors paid directly),346
86,FirstBank Financial Service,McDonough,Georgia,"February 6, 2009",Regions Bank,337
87,Westsound Bank,Bremerton,Washington,"May 8, 2009",Kitsap Bank,"334,6"
88,Bank of Elmwood,Racine,Wisconsin,"October 23, 2009",Tri City National Bank,327
89,North Houston Bank,Houston,Texas,"October 30, 2009","U.S. Bank, N.A.",326
90,Security Bank of Gwinnett County,Suwanee,Georgia,"July 24, 2009",State Bank and Trust Company,322
91,America West Bank,Layton,Utah,"May 1, 2009",Cache Valley Bank,"299,4"
92,FirstCity Bank,Stockbridge,Georgia,"March 20, 2009",None (insured depositors paid directly),297
93,RockBridge Commercial Bank,Atlanta,Georgia,"December 18, 2009",None (insured depositors paid directly),294
94,MagnetBank,Salt Lake City,Utah,"January 30, 2009",None (insured depositors paid directly),"292,9"
95,First DuPage Bank of Westmont,Westmont,Illinois,"October 23, 2009",First Midwest Bank,279
96,BankFirst,Sioux Falls,South Dakota,"July 17, 2009","Alerus Financial, N.A.",275
97,Corn Belt Bank & Trust Co.,Pittsfield,Illinois,"February 13, 2009",The Carlinville National Bank,"271,8"
98,Great Basin Bank of Nevada,Elko,Nevada,"April 17, 2009",Nevada State Bank,271
