id,bank,city,state,date,date_numbers,acquired_by,assets_mil,cartodb_id,created_at,updated_at,cartodb_georef_status,longitude,latitude,geojson
1,IndyMac,Pasadena,California,1215734400000,20080711,"OneWest Bank, FSB",32000,2,1357420806903,1357420841713,1,-118.14427,34.14745,"{""type"":""Point"",""coordinates"":[-118.14427,34.14745]}"
2,Franklin Bank,Houston,Texas,1226016000000,20081107,Prosperity Bank,5100,4,1357420806903,1357420843903,1,-95.36978,29.76045,"{""type"":""Point"",""coordinates"":[-95.36978,29.76045]}"
3,PFF Bank and Trust,Pomona,California,1227225600000,20081121,"U.S. Bank, N.A.",3700,5,1357420806903,1357420844742,1,-117.75003,34.05483,"{""type"":""Point"",""coordinates"":[-117.75003,34.05483]}"
4,ANB Financial NA,Bentonville,Arkansas,1210291200000,20080509,Pulaski Bank and Trust Company,2100,7,1357420806903,1357420846476,1,-94.20962,36.37232,"{""type"":""Point"",""coordinates"":[-94.20962,36.37232]}"
5,Silver State Bank,Henderson,Nevada,1220572800000,20080905,Nevada State Bank,2000,8,1357420806903,1357420847480,1,-114.98109,36.03082,"{""type"":""Point"",""coordinates"":[-114.98109,36.03082]}"
6,The Columbian Bank and Trust Company,Topeka,Kansas,1219363200000,20080822,Citizens Bank and Trust,752,10,1357420806903,1357420849037,1,-95.67118,39.04928,"{""type"":""Point"",""coordinates"":[-95.67118,39.04928]}"
7,The Community Bank,Loganville,Georgia,1227225600000,20081121,Bank of Essex,681,11,1357420806903,1357420849815,1,-83.90252,33.83807,"{""type"":""Point"",""coordinates"":[-83.90252,33.83807]}"
8,Security Pacific Bank,Los Angeles,California,1226016000000,20081107,Pacific Western Bank,561.1,13,1357420806903,1357420851511,1,-118.24532,34.05349,"{""type"":""Point"",""coordinates"":[-118.24532,34.05349]}"
9,Alpha Bank & Trust,Alpharetta,Georgia,1224806400000,20081024,"Stearns Bank, N.A.",354.1,14,1357420806903,1357420852636,1,-84.29455,34.07537,"{""type"":""Point"",""coordinates"":[-84.29455,34.07537]}"
10,First Priority Bank,Bradenton,Florida,1217548800000,20080801,SunTrust Bank,259,16,1357420806903,1357420855919,1,-82.57807,27.4955,"{""type"":""Point"",""coordinates"":[-82.57807,27.4955]}"
11,First Georgia Community Bank,Jackson,Georgia,1228435200000,20081205,United Bank,237.5,18,1357420806903,1357420857760,1,-83966,33.2944,"{""type"":""Point"",""coordinates"":[-83.966,33.2944]}"
12,Ameribank,Northfork,West Virginia,1221782400000,20080919,The Citizens Savings Bank,113,19,1357420806903,1357420858549,1,-81.42968,37.41434,"{""type"":""Point"",""coordinates"":[-81.42968,37.41434]}"
13,Main Street Bank,Northville,Michigan,1223596800000,20081010,Monroe Bank and Trust,98,20,1357420806903,1357420859185,1,-83.48519,42.43097,"{""type"":""Point"",""coordinates"":[-83.48519,42.43097]}"
14,"First Integrity Bank, NA",Staples,Minnesota,1212105600000,20080530,First International Bank and Trust,54.7,22,1357420806903,1357420860889,1,-94.7942,46.35565,"{""type"":""Point"",""coordinates"":[-94.7942,46.35565]}"
15,Sanderson State Bank,Sanderson,Texas,1229040000000,20081212,The Pecos County State Bank,37,24,1357420806903,1357420862437,1,-102.40415,30.14342,"{""type"":""Point"",""coordinates"":[-102.40415,30.14342]}"
16,Hume Bank,Hume,Missouri,1204848000000,20080307,Security Bank,18.7,25,1357420806903,1357420863153,1,-94.58322,38.09004,"{""type"":""Point"",""coordinates"":[-94.58322,38.09004]}"
17,AmTrust Bank,Cleveland,Ohio,1259884800000,20091204,New York Community Bank,12000,29,1357420806903,1357420868042,1,-81.69072,41.50475,"{""type"":""Point"",""coordinates"":[-81.69072,41.50475]}"
18,United Commercial Bank,San Francisco,California,1257465600000,20091106,East West Bank,11200,30,1357420806903,1357420869072,1,-122.41964,37.77712,"{""type"":""Point"",""coordinates"":[-122.41964,37.77712]}"
19,Corus Bank,Chicago,Illinois,1252627200000,20090911,"MB Financial Bank, N.A.",7000,32,1357420806903,1357420871190,1,-87.63241,41.88415,"{""type"":""Point"",""coordinates"":[-87.63241,41.88415]}"
20,Park National Bank,Chicago,Illinois,1256860800000,20091030,"U.S. Bank, N.A.",4700,34,1357420806903,1357420872805,1,-87.63241,41.88415,"{""type"":""Point"",""coordinates"":[-87.63241,41.88415]}"
21,"Silverton Bank, NA",Atlanta,Georgia,1241136000000,20090501,None (insured depositors paid directly),4100,35,1357420806903,1357420873529,1,-84.39111,33.74831,"{""type"":""Point"",""coordinates"":[-84.39111,33.74831]}"
22,Imperial Capital Bank,La Jolla,California,1261094400000,20091218,City National Bank,4000,36,1357420806903,1357420874233,1,-117.87405,33.85811,"{""type"":""Point"",""coordinates"":[-117.87405,33.85811]}"
23,Orion Bank,Naples,Florida,1258070400000,20091113,IBERIABANK,2700,39,1357420806903,1357420878551,1,-81.79579,26.13909,"{""type"":""Point"",""coordinates"":[-81.79579,26.13909]}"
24,Pacific National Bank,San Francisco,California,1256860800000,20091030,"U.S. Bank, N.A.",2300,40,1357420806903,1357420879507,1,-122.41964,37.77712,"{""type"":""Point"",""coordinates"":[-122.41964,37.77712]}"
